                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.97832,                 1.0409,                0.70655,                 1.0212,                0.89285,                0.69448,                 0.7862,                0.56585,                0.89285,                0.69448,                0.78196,                0.49268,                 1.0992,                 2.8103,                 1.4017,                 1.1672,              0.0019715,              0.0019715,              0.0019715
                     75,                0.92322,                0.95243,                0.69579,                0.96511,                0.81125,                0.76667,                0.81168,                0.59682,                0.81125,                0.76667,                 0.8067,                0.50578,                 1.0516,                 2.5402,                 1.2811,                 1.1268,              0.0019711,              0.0019711,              0.0019711
                     76,                0.94637,                 1.1474,                0.76193,                 1.0208,                0.81473,                0.73333,                0.81014,                0.56893,                0.81473,                0.73333,                0.81461,                0.51587,                 1.0816,                 2.1709,                 1.3028,                 1.1661,              0.0019707,              0.0019707,              0.0019707
                     77,                0.90366,                0.87797,                0.68319,                 1.0383,                0.91479,                0.71569,                0.85438,                0.61693,                0.91479,                0.71569,                0.85903,                0.58387,                 1.0526,                 1.7548,                 1.2723,                  1.155,              0.0019703,              0.0019703,              0.0019703
                     78,                0.87164,                0.96373,                0.70949,                0.98649,                0.92982,                    0.7,                0.89034,                0.64613,                0.92982,                    0.7,                0.89071,                 0.6295,                 1.0235,                 1.4875,                 1.1821,                  1.156,              0.0019699,              0.0019699,              0.0019699
                     79,                0.89391,                 1.0363,                0.65019,                0.99179,                0.91737,                0.76667,                0.89008,                0.66431,                0.91737,                0.76667,                0.89008,                0.63578,                 1.0003,                 1.4811,                 1.1925,                 1.1322,              0.0019695,              0.0019695,              0.0019695
                     80,                0.86346,                0.94787,                0.67545,                  0.998,                0.87037,                0.78335,                0.90385,                0.68583,                0.87037,                0.78335,                0.90385,                0.65148,                0.93499,                  1.546,                 1.1234,                 1.0743,              0.0019691,              0.0019691,              0.0019691
                     81,                0.82078,                 1.0071,                0.62788,                0.98201,                0.76042,                   0.85,                0.90116,                0.70441,                0.76042,                   0.85,                0.90116,                0.61291,                0.85399,                 1.8247,                 1.0381,                 1.0126,              0.0019687,              0.0019687,              0.0019687
                     82,                0.82347,                 1.0672,                0.66029,                0.95818,                0.82546,                0.83333,                0.92657,                0.72233,                0.82546,                0.83333,                0.92657,                0.61082,                0.83317,                 1.9687,                0.97989,                0.99306,              0.0019683,              0.0019683,              0.0019683
                     83,                0.91686,                  0.985,                0.71052,                0.99971,                0.86594,                   0.85,                0.92954,                0.73764,                0.86594,                   0.85,                0.92954,                0.62629,                0.84543,                 2.0179,                 0.9632,                 0.9799,              0.0019679,              0.0019679,              0.0019679
