                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.69825,                 1.0536,                0.70434,                0.99768,                0.91003,                0.93506,                0.94506,                0.71828,                 0.9004,                0.92208,                0.93599,                0.70684,                  1.079,                 1.2928,                 1.1257,                 1.2696,              0.0014129,              0.0014129,              0.0014129
                     60,                0.67391,                 1.0384,                0.71084,                 0.9652,                0.94131,                 0.8961,                0.94585,                0.75171,                0.94131,                 0.8961,                0.95147,                0.66929,                0.83626,                 1.0542,                0.90969,                 1.1419,              0.0014126,              0.0014126,              0.0014126
                     61,                0.64334,                 1.1854,                0.63754,                0.96542,                0.94475,                0.88829,                0.94666,                0.77433,                0.94361,                0.86931,                0.91192,                0.59633,                0.76564,                 1.2178,                 0.8538,                 1.0943,              0.0014123,              0.0014123,              0.0014123
                     62,                 0.7163,                 1.2031,                0.73879,                 1.0008,                0.91957,                0.76623,                0.89148,                0.66506,                0.78228,                0.83999,                0.81841,                0.50687,                0.95504,                 1.5463,                 1.0116,                 1.2566,               0.001412,               0.001412,               0.001412
                     63,                 0.6421,                 1.0292,                0.69973,                 1.0122,                0.80677,                0.84416,                0.86007,                0.63089,                0.78195,                0.81818,                0.81315,                0.53898,                0.94028,                 1.3621,                 1.0346,                 1.2927,              0.0014117,              0.0014117,              0.0014117
                     64,                0.65372,                 1.0657,                 0.6742,                0.98476,                0.79485,                0.85714,                 0.8384,                0.61019,                0.78281,                0.84416,                0.80352,                0.57336,                0.98168,                 1.6388,                   1.02,                 1.2694,              0.0014115,              0.0014115,              0.0014115
                     65,                0.68625,                  1.081,                0.65783,                0.98247,                0.80653,                0.88312,                0.88479,                0.65145,                0.87105,                0.80519,                 0.8516,                0.60455,                 1.0446,                 1.3066,                0.95746,                  1.323,              0.0014112,              0.0014112,              0.0014112
                     66,                0.66535,                 1.0329,                0.61882,                0.97691,                0.92499,                0.80519,                0.90437,                0.60037,                 0.8876,                0.77922,                0.86662,                0.58882,                 1.1553,                  1.058,                0.97635,                 1.3677,              0.0014109,              0.0014109,              0.0014109
                     67,                0.62025,                 1.1296,                0.63026,                0.97278,                0.82684,                0.86821,                0.88958,                0.63135,                0.82684,                0.86821,                0.88215,                0.62752,                 1.0277,                0.92043,                0.91852,                 1.2407,              0.0014106,              0.0014106,              0.0014106
                     68,                0.66017,                 1.0273,                0.64773,                 0.9859,                0.80209,                0.77922,                0.87668,                0.64607,                0.81546,                0.79221,                0.88856,                0.59407,                0.88292,                 1.1393,                0.98334,                 1.0959,              0.0014103,              0.0014103,              0.0014103
                     69,                 0.6572,                 1.1638,                0.65798,                0.97187,                0.71469,                0.83117,                0.84888,                0.58418,                0.70752,                0.84826,                0.86539,                0.55583,                0.95232,                 1.2305,                 1.0986,                 1.1312,                0.00141,                0.00141,                0.00141
                     70,                0.62189,                 1.1747,                0.60175,                0.95255,                0.82532,                0.76623,                0.87105,                0.54715,                0.81331,                0.76623,                0.88496,                0.63719,                 1.0598,                 1.1204,                 1.0863,                 1.1671,              0.0014098,              0.0014098,              0.0014098
                     71,                0.63318,                0.92251,                0.59464,                0.95468,                0.81231,                0.78693,                0.84272,                0.53751,                0.81915,                0.82355,                 0.8785,                0.65069,                 1.1468,                 1.1191,                 1.1079,                  1.202,              0.0014095,              0.0014095,              0.0014095
                     72,                0.64226,                 1.0679,                0.61042,                0.98527,                0.80649,                0.83117,                0.87425,                0.60998,                0.89723,                0.79221,                 0.9103,                 0.6549,                 1.0851,                 1.0457,                 1.0739,                 1.2588,              0.0014092,              0.0014092,              0.0014092
                     73,                0.71509,                 1.0738,                0.63034,                 1.0317,                0.81826,                0.87714,                0.87884,                0.64399,                0.83038,                0.89013,                0.89871,                0.63197,                0.93206,                 1.0729,                 1.0426,                 1.2244,              0.0014089,              0.0014089,              0.0014089
                     74,                0.65688,                 1.0812,                0.61813,                0.96318,                0.78956,                 0.8961,                0.85571,                0.52443,                0.85802,                0.86338,                0.88058,                0.65099,                 1.0742,                0.97228,                 1.2595,                 1.4275,              0.0014086,              0.0014086,              0.0014086
